fabric,place
Aeolic,Aeolic
African,Africa
Alexandrian,Alexandria
Apulian,Apulia
Argive,Argos
Asia Minor,Asia Minor
Athenian,Athens
Attic,Attica
Boeotian,Boeotia
British,Britain
Calenian,Calenian
Camiran,Camiran
Campanian,Campania
Canosan,Canosan
Carthaginian,Carthage
Chiot,Chios
Clazomenian,Clazomenae
Cnidian,Cnidos
Corinthian,Corinth
Cretan,Crete
Cypriot,Cyprus
Cypriote,Cyprus
Cyrenaic,Cyrene
Daunian,Daunii
Deinos,Deinos
Dhitsa,Dhitsa
Dilisi,Dilisi
East Greek,East Greek
East Greek / Corinthian,East Greek / Corinthian
Egyptian,Egypt
Eretrian,Eretria
Etruscan,Etruria
Euboean,Euboea
Faliscan,Falisci
German,Germany
Gnathian,Gnathia
Greek,Greece
Ionian,Ionia
Italian,Italian
Kasnit,Kasnit
Laconian,Laconia
Lucanian,Lucania
Megarian,Megara
Messapian,Messapioi
Metapontine,Metapontum
Minoan,Minos
Mycenaean,Mycene
Naucratite,Naucratis
North African,Africa
Tunisia,Tunisia
North Italian,North Italian
Nubian,Nubian
Paestan,Paestum
Pontic,Pontus
Protocorinthian,Corinth
Rhitsona,Rhitsona
Rhodian,Rhodes
Roman,Rome
Romanian,Romania
Romano-Egyptian,Egypt
Samian,Samos
Sicilian,Sicily
South Gaulish Samian,Gaul
South Italian,Italy
Spartan,Sparta
Sub-Mycenaean,Mycene
Tanagra,Tanagra
Tarentine,Tarentum
Thessalian,Thessaly
Tunisian,Tunisia
italic,Italy
