a+b from Elis\\nc+d from Syracuse\\ne+f from Gela	a+b from Elis\\nc+d from Syracuse\\ne+f from Gela
"a+b from Lydia, c+d from Phocaea, e+f from Teos?"	"a+b from Lydia, c+d from Phocaea, e+f from Teos?"
"a+b from Pheneos\\nc,d,e+f from Syracuse"	"a+b from Pheneos\\nc,d,e+f from Syracuse"
Abydos	Abydos
Achna	Achna
"Achna, Cyprus"	"Achna, Cyprus"
Acquired in Athens	Acquired in Athens
Aegina	Aegina
"Aegina, Temple of Aphrodite (Kolonna)."	"Aegina, Temple of Aphrodite (Kolonna)."
Aegina. Picked up by P.N. Ure between 1907 and 1914.	Aegina. Picked up by P.N. Ure between 1907 and 1914.
"Akhmim, Egypt"	"Akhmim, Egypt"
Al Mina	Al Mina
"Al Mina, level 3"	"Al Mina, level 3"
ALABANDA	ALABANDA
Alinda	Alinda
Allegedly found in field near Bletchley	Allegedly found in field near Bletchley
Amphipolis	Amphipolis
Amphipolis (c+d) \\/ Kopinth (e+f)	Amphipolis (c+d) \\/ Kopinth (e+f)
"Anavysos, Attica"	"Anavysos, Attica"
"Anavysos, Attica."	"Anavysos, Attica."
ANKARD	ANKARD
Argive Heraeum	Argive Heraeum
ASHUR	ASHUR
Ashur	Ashur
Athens	Athens
Athens (c+d) \\/ Elis (e+f)	Athens (c+d) \\/ Elis (e+f)
BABYLON	BABYLON
Babylon	Babylon
Basra	Basra
Boeotia	Boeotia
"Boeotia, Kabeirion (?)"	"Boeotia, Kabeirion (?)"
Boeotian	Boeotian
"Bought from Mikas, Paris"	"Bought from Mikas, Paris"
Carthage	Carthage
"Cast from an original in the Acropolis Museum, Athens"	"Cast from an original in the Acropolis Museum, Athens"
"Central Italian, possibly from the vicinity of Rome."	"Central Italian, possibly from the vicinity of Rome."
"Copies a silver coin (stater) in the British Museum, from Elis, 470 - 370 BC"	"Copies a silver coin (stater) in the British Museum, from Elis, 470 - 370 BC"
"Copies a silver coin (stater) in the British Museum, from Tarentum, c. 500 BC"	"Copies a silver coin (stater) in the British Museum, from Tarentum, c. 500 BC"
"Copy of a coin (didrachm) from Corinth, 350 \\u0096 300 BC, now in the British Museum."	"Copy of a coin (didrachm) from Corinth, 350 \\u0096 300 BC, now in the British Museum."
Copy of a coin in the British Museum	Copy of a coin in the British Museum
"Copy of a gold coin (stater) from Athens, 480 - 460 BC, now in the British Museum"	"Copy of a gold coin (stater) from Athens, 480 - 460 BC, now in the British Museum"
"Copy of a silver coin (decadrachm) from Syracuse, Sicily, 480 - 479 BC, now in the British Museum"	"Copy of a silver coin (decadrachm) from Syracuse, Sicily, 480 - 479 BC, now in the British Museum"
"Copy of a silver coin (didrachm) from Athens, 540 \\u0096 520 BC, now in the British Museum"	"Copy of a silver coin (didrachm) from Athens, 540 \\u0096 520 BC, now in the British Museum"
"Copy of a silver coin (drachm) from Larissa, 430 \\u0096 400 BC, now in the British Museum"	"Copy of a silver coin (drachm) from Larissa, 430 \\u0096 400 BC, now in the British Museum"
"Copy of a silver coin (stater) from Metapontum, c. 450 BC, now in the British Museum"	"Copy of a silver coin (stater) from Metapontum, c. 450 BC, now in the British Museum"
"Copy of a silver coin (tetradrachm) from Athens, after 196 BC, now in the British Museum."	"Copy of a silver coin (tetradrachm) from Athens, after 196 BC, now in the British Museum."
"Copy of a silver coin (tetradrachm) from Knossos, Crete, 200 \\u0096 67 BC, now in the British Museum"	"Copy of a silver coin (tetradrachm) from Knossos, Crete, 200 \\u0096 67 BC, now in the British Museum"
"Copy of a silver coin (tetradrachm) from Magnesia ad Maeandrum (Ionia), 190 \\u0096 100 BC, now in the British Museum."	"Copy of a silver coin (tetradrachm) from Magnesia ad Maeandrum (Ionia), 190 \\u0096 100 BC, now in the British Museum."
"Copy of a silver coin (tetradrachm) from Smyrna, 200 - 100 BC, now in the British Museum"	"Copy of a silver coin (tetradrachm) from Smyrna, 200 - 100 BC, now in the British Museum"
"Copy of a silver coin (tetradrachm) from Syracuse, Sicily, 405 \\u0096 395 BC, now in the British Museum"	"Copy of a silver coin (tetradrachm) from Syracuse, Sicily, 405 \\u0096 395 BC, now in the British Museum"
"Copy of a silver coin (tetradrachm) from the coast of Asia Minor, 400 \\u0096 395 BC, now in the British Museum."	"Copy of a silver coin (tetradrachm) from the coast of Asia Minor, 400 \\u0096 395 BC, now in the British Museum."
Corinth	Corinth
Cortona	Cortona
Cyprus	Cyprus
Cyprus ?	Cyprus ?
Daphnae or Naucratis	Daphnae or Naucratis
Daphnae or Naukratis	Daphnae or Naukratis
"Daphnae, Egypt"	"Daphnae, Egypt"
Deir-el-Bahri (Thebes)	Deir-el-Bahri (Thebes)
Dendereh	Dendereh
Egypt	Egypt
Egypt -	Egypt -
Egypt ?	Egypt ?
