A,A,x,
A.D.,A.D.,x,
ALABANDA,ALABANDA,,
ANKARD,Ankara,,
ASHUR,ASHUR,,
Abydos,Abydos,,
Achna,Achna,,
Achna.,Achna.,x,
Acquired,Acquired,x,
Acropolis,Athens Akropolis,,check
Aegina,Aegina,,
Aegina.,Aegina.,x,
African,Africa,,
Agrigento,Agrigento,,
Akhmim,Akhmim,,
Akropolis,Athens Acropolis,,check
Al,Al,x
Alexandria,Alexandria,
Alinda,Alinda,
Allegedly,Allegedly,x
Amphipolis,Amphipolis,
Anaphlystos,Anaphlystos,
Anavysos,Anavysos,
Andrews,Andrews,x
Andrews.,Andrews.,x
Annie,Annie,x
Anopos,Anopos,
Antioch,Antioch,
Aphrodite,Aphrodite,x
Argive,Argos,
Argolid,Argolid,
Argolid.,Argolid.,x
Army,Army,x
Artemis,Artemis,x
Arthia,O,x
Arthur,Arthur,x
Artmis,Artmis,x
Artremis,Artremis,x
Ashur,Ashur,
Asia,Asia,
Athena,Athena,x
Athens,Athens,
Athens.,Athens.,x
Attic,Attika,
Attica,Attika,
Attica.,Attica.,x
August,August,x
BABYLON,BABYLON,x
BC,BC,x
Babylon,Babylon,
Basra,Basra,
Bassett,Bassett,
Beni,Beni,x
Bletchley,Bletchley,
Boeotia,Boeotia,
Boeotian,Boeotia,
Bought,Bought,x
British,Britain,
Canosa,Canosa,
Carthage,Carthage,
Cast,Cast,x
Central,Central,x
Cerveteri,Cerveteri,
Cf.,Cf.,x
Chalcis,Chalcis,
Chalkioikos,Chalkioikos,x
Chemistry,Chemistry,x
Chios,Chios,
Clement,Clement,x
Collection,Collection,x
Collection.,Collection.,x
Copies,Copies,x
Copy,Copy,x
Corinth,Corinth,
Corinth.,Corinth.,x
Corsiae,Khorsiai,
Cortona,Cortona,
Crete,Crete,
Crete.,Crete.,x
Crimea,Crimea,
Cumae,Cumae,
Cyclades,Cyclades,
Cyprus,Cyprus,
Cyrene,Cyrene,
Daphnae,Daphnae,
Dean,Dean,x
Deir-el-Bahri,Deir-el-Bahri,
Dendereh,Dendereh,
Diospolis,Diospolis,
Egypt,Egypt,
Egypt.,Egypt.,x
Egyptian,Egypt,
Electrum.,Electrum.,x
Eleusis,Eleusis,
Elis,Elis,
Elisnc+d,Elisnc+d,x
Enclosed,Enclosed,x
Enkomi,Enkomi,
Ephesus,Ephesus,
Eretria,Eretria,
Esna,Esna,
Etruria,Etruria,
Evans,Evans,x
Faculty,Faculty,x
Findspit,Findspit,x
Findspot,Findspot,x
Found,Found,x
From,From,x
GORDION,GORDION,x
Gela,Gela,
Glyphada,Glyphada,
Gordion,Gordion,
Graufesenque,Graufesenque,x,
Grave,Grave,x,
Greece,Greece,,
Greek,Greece,,
Grom,Grom,,check
Gurab,Gurob,,
Gurob,Gurob,,
H.B.,H.B.,x,
Halicarnassus,Halicarnassus,,
Hassan,Beni Hassan,,
Helicon,Helicon,,
Henry,Henry,x,
Heraeum,Heraeum,,
Heraion,Heraion,,
Hierakonpolis,Hierakonpolis,,
Hill,Hill,x,
Histria,Histria,
Hu,Hu,x
IASOS,IASOS,
II.,II.,x
In,In,x
Ionia,Ionia,
Ionic,Ionia,
Islands.,Islands.,x
Italian,Italy,
Italy.,Italy.,x
JHS,JHS,x
K12,K12,x
Kabeirion,Kabeirion,
Kamelarga,Kamelarga,
Keratia,Keratia,
Khorsiai,Khorsiai,
Knidos,Knidos,
Knossos,Knossos,
Kolonna.,Kolonna,
Kom,Kom,
Kopinth,Kopinth,
La,La,x
Larissa,Larissa,
Larnaca,Larnaca,
Lepcis,Lepcis,
Lianokladi,Lianokladi,
Lipari,Lipari,
Liverpool,Liverpool,
Lord,Lord,x
Lydia,Lydia,
MN,MN,x
MN2,MN2,x
Macedonia,Macedonia,
Made,Made,x
Maeandrum,Maeandrum,
Magna,Magna,x
Magnesia,Magnesia,
Marion,Marion,
Martin,Martin,x
Medum,Medum,
Memphis,Memphis,
Metapontum,Metapontum,
Meydoum,Meydoum,
Meydum,Meydum,
Mikas,Mikas,x
Mina,Mina,
Minor,Minor,x
Mint,Mint,x
Mount,Mount,x
Mueum,Mueum,x
Musem,Musem,x
Museum,Museum,x
Museum.,Museum.,x
Mycenae,Mycenae,
N,N,x
NIMROD,NIMROD,x
NULL,NULL,x
Naucratis,Naucratis,
Naukratis,Naukratis,
Nicks,Nicks,x
Nine,Nine,x
Nola,Nola,
North,North,x
Officials,Officials,x
Olynthos,Olynthos,,
Orthia,Orthia,x,
Orvieto,Orvieto,,
Oxford.,Oxford,,check
P.,P.,x,
P.N,P.N,x,
P.N.,P.N.,x,
Paestum,Paestum,,
Palaikastro,Palaikastro,,
Paphos,Paphos,,
Paris,Paris,,
Paris.,Paris.,x,
Paros,Paros,,
Parva,Parva,,
Patara,Patara,,check
Persian,Persia,,
Perugia,Perugia,
Perugia.,Perugia.,x
Petits,Petits,x
Phanes,Phanes,
Pheneosncde+f,Pheneosncde+f,x
Phocaea,Phocaea,
Photo,Photo,x
