lemma	def
Αἰάντειος	of Ajax
Αἰγίπλαγκτος	wandered over by goats
Αἰγαῖος	Aegaean
Αἰγιναῖος	of Aegina
Αἰγυπτιακός	of/for Egyptians
Αἰγυπτογενής	of Egyptian race
Αἰγύπτιος	Egyptian
Αἰγῦτις	Aegytis, territory of Aegys
Αἰθιοπικός	Ethiopian
Αἰολεύς	Aeolian
Αἰσκύλειος	Esquiline
Αἰσώπειος	of Aesop
Αἰτναῖος	of or belonging to Etna
Αἰτωλικός	Aetolian
Αἰτωλός	Aetolian
Αἰτώλιος	Aetolian
Βάκτριος	Bactrian
Βάκχειος	Bacchic, of the god Dionysus, Bacchus
Βίβλινος	Byblian, of Byblus
Βαβυλώνιος	Babylonian, of Babylon
Βακχευτικός	disposed to Bacchic revels
Βακχεύσιμος	Bacchanalian, frenzied
Βακχικός	Bis Acc.
Βενιαμῖτις	(tribe) of Benjamin
Βηλίδες	(gates) of Baal
Βοιβηΐς	of Boebe
Βοιώτιος	Boeotian
Βοσπόριος	of the Bosporus
Βοττιαῖος	of Bottiaea, Bottiaean
Βοττικός	of Bottia, Bottiaea
Βρέττιος	barbarous
Βρασίδειος	of Brasidas
Βρούτειοι	supporters of Brutus
Βρόμιος	Bacchic
Βυβάσσιος	of Bubassus, a town in Caria
Βυζάντιος	inhabitant of Byzantium (no LSJ entry)
Γαιήιος	son of Earth
Γελῷος	of Gela
Γλισᾶς	Glisas
Γοργίειος	of Gorgias, Gorgias-like
Γοργοφόνος	Gorgon-killing
Γοργόνειος	a Gorgon-mask
Γορτύνιος	of Gortys, Gortynian
Γυγάδας	of Gyges
Γυραί	the Gyraean rocks
Γόργειος	of the Gorgon
Δήλιος	Delian
Δαρδάνιος	Trojan
Δαρεικός	a Daric
Δαρειογενής	born from Darius
Δηλιακός	Delian
Δημήτριος	of Demeter, (pr.n.) Demetrius
Δημητριακός	of or belonging to Demeter
Διάκριοι	the Mountaineers (political party)
Διογενής	sprung from Zeus
Διομήδειος	of or like Diomedes
Διονύσιος	Dionysius
Διπολιώδης	like the Διπόλια, i. e. obsolete, out of date
Διρκαῖος	Dircaean
Διόγνητος	sprung from Zeus
Δωδωναῖος	of Dodona
Δωρικός	Doric
Δώριος	Dorian
Δῖος	of  Zeus
Εἱλωτικός	of Helots
Εὐβοικός	Euboean
Εὐριπίδειος	of Euripides
Εὐρυτεία	daughter of Eurutos (Iole)
Εὐρωπεύς	of Europos
Εὔιος	Euios, Evius
Ζακύνθιος	Zacynthian, of Zacynthos
Ζωστήριος	of Ζωστήρ (epithet of Apollo and of Athena)
Θάσιος	of or from Thasos, Thasian
Θεσπρωτίς	area around Dodona
Θεσσαλικός	chair
