accession_number	short_title	description	fabric
10.11.2	 	 	 
10.59.55	 	 	 
11.10.1	Corinthian lc i - ii skyphos	(Dipped) black on handles; streaky black on interior; exterior decorated with continuous black zigzags, red band, black band; black foot-ring.	Corinthian
11.10.10	Corinthian aryballos	Quatrefoil, no hatching. On mouth, one broad band between two narrow. Bottom flattened.	Corinthian
11.10.11	Corinthian mc - lc i aryballos	Quatrefoil, with hatching and wavy patterns intermediate.  Black on greenish ground.  Three broad circles on mouth, two on side of mouth.  Oblique stroke at back of body.	Corinthian
11.10.12	Corinthian kothon	Ribbon handle with projecting ends.  Inside is black with two red bands at centre. On turned-in rim, one black band (level with the bottom of the handle) and one red band. The body is decorated with black lanceolate leaves bordered on the outside by five lines alternating black and red, on inner by two lines and band in black. The foot is decorated with black band and, on the base, a wide red band, two thin black bands, two central bands and a dot.	Corinthian
11.10.13	Boeotian kylix	Black on buff, there are leaves around the inside and outside of the rim. Below the rim on the outside is a band of horizontal v shapes. On the main area of the fragment are three redish\\/black bands, the middle thicker than the other two.  On the broad black band, Greek key pattern in applied white paint is still visible. On the lower edge of the fragment is the edge of a black circle. The back of the fragment, except for the rim, is red.	Boeotian
11.10.14	Boeotian black glaze kantharos	Black all over, but glaze is lacking luster and brownish.	Boeotian
11.10.15	Boeotian kantharos	 	Boeotian
11.10.16	Boeotian black glaze kantharos	 	Boeotian
11.10.19	Attic black figure lekythos	Shoulder: frieze of bars at base of neck; below, five palmettes, consisting of a central group of three, the middle one inverted, and one at each side with its stem on the side away from the handle. The lower branch of each stem curls into a spiral from the end of which a leaf grows. There are dots in the field. Body: black except for a pair of red lines around the top.	Attic
11.10.2	Attic black figure lekythos	Cup mouth originally black inside and out with lip reserved. Shoulder had rays and lotus buds.  On back, long verticle smear of paint below handle. Main zone is palmettes and lotus buds on cable, perhaps with white outer continuous lines.  Bottom of body was orignally black, as is top of foot.  Side of foot is reserved as is base.	Attic
11.10.20	Corinthian late corinthian i aryballos	Quatrefoil, hatchings and wavy pattern (cf. Reading 11.10.11).  Top of mouth: one very broad band between two narrow.  Bottom flattened.	Corinthian
11.10.21	Attic black figure cup-skyphos	Black glaze covers the interior. Exterior of the rim black; black groundline at bottom of figural scene; black on lower part of body and exterior of foot, except for two reserved grooved lines on the top and lower part of foot. Reserved resting surface. Underside decorated with black circle at the centre, surrounded by a thin black band. Interior of the foot black . Scene is similar on both sides: between palmettes a charioteer driving a quadriga, or two-horse chariot, to the right. Incised detail on all figures. Careless design, no details.	Attic
11.10.3	Rhodian (?) figurine	Squatting satyr, with large phallus, hands across stomach. Whitish\\/pale yellow clay, with traces of pinkish-red slip all over. Back not moulded. Resting surface curved in a horseshoe shape. Facial features mostly distinguishable. Satyr wears an angry expression.	Rhodian (?)
11.10.4	Corinthian aryballos	Wide mouth with flat rim with one band followed by two thin bands.  Single handle with one horizontal bar.  On the shoulder is a thin daisy pattern.  Body has eight bands, the fifth from top is broad.  On bottom are two small circles.	Corinthian
11.10.5	Corinthian aryballos	On mouth four bands; on body, wingless sphinx.  One rosette with incisions crossing at centre.  Some traces of added colour, now lost.  On bottom (rather flat) three circles.	Corinthian
11.10.6	Corinthian middle corinthian aryballos	Cup mouth with deep flange with six bands in two groups of three.  Side band is continued across top of handle but otherwise it is plain.  Three warriors, heads left, feet right.  Spears slope left and shields are red in centre but have a black rim with white dots.  The six band pattern is in two groups of three again on the base.	Corinthian
11.10.7	Corinthian aryballos	On mouth, one broad band, one narrow; saucer shaped.  Cinquefoil, no hatching.  Shoulder flattened.  Intermediate pattern: circle with vertical line inside.	Corinthian
11.10.8	Corinthian aryballos	Cinquefoil, intermediate pattern smaller circle within circle.  Mouth flat, one broad band, one narrow.	Corinthian
11.10.9	Corinthian aryballos	On mouth, one broad band, one narrow, saucer-shaped.  Shoulder flattened.  Cinquefoil, intermediate pattern circle with cross inside.	Corinthian
11.11.20	aryballos	 	 
114.9.45	Corinthian (?) stirrup jar	Pale buff ground.  In handle zone, continuous zigzag, black.  Below, two broad bands, the upper red.  Bottom reserved, except black foot-ring; slightly raised central disk.  Inside streaky black.  Black on handles.	Corinthian (?)
12.10.1	Etruscan bucchero mask	Mask of woman in high relief with wig-like mass of hair with lightly incised zigzags.  Projecting ornament.  Perhaps decoration from a portable brazier or perhaps a fireplace decoration.	Etruscan
13.10.1	Cypriote dagger or dirk (sword blade used as a dagger or spearhead)	None	Cypriote
13.10.10	Cypriote painted ware jug	White-painted, with  black linear patterns. At front of neck, female figurine, to hip level. Beak-face, prominent breasts, arms curled round them, hand on mouth. Black linear decor, painted circles resembling eyes, black dots or rings on breasts resembling nipples, zigzag decoration within border at base of figurine.	Cypriote
13.10.11.1	spindle whorl; bead	 	 
13.10.11.10	bead	Incised pattern of parallel lines enclosing dots, between these features are undulating lines. There is also an incision around the girth of the bead.	 
13.10.11.11	bead	 	 
13.10.11.12	bead	 	 
13.10.11.13	bead	 	 
13.10.11.14	bead	 	 
13.10.11.15	bead	 	 
13.10.11.16	spindle whorl; bead	Parallel zigzag lines incised on both the bottom and top sides of the bead as well as an incision of one line around the girth of the bead and around each end of the piercing.	 
13.10.11.2	spindle whorl; bead	 	 
13.10.11.3	bead	Spherical bead with an incision around the girth, and parallel lines of 2 or 3 incisions either side of the girth.	 
13.10.11.4	bead	Three parallel lines of incisions in diamond shapes on the surface of the bead	 
13.10.11.5	bead	Incisions and dots on the surface. Pattern is such that the dots are in between two parallel, vertical lines. Incision around the girth too.	 
13.10.11.6	bead	Groups of three incised parallel lines, arranged patterns.	 
13.10.11.7	bead	 	 
13.10.11.8	bead	Sets of three parallel lines of incisions all over the whole object.	 
13.10.11.9	bead	Triangular incisions either side of the girth. At the top and the bottom of the bead there are incisions as well as around the girth.	 
13.10.12	Cypriote white painted ware jug	Decorated with three groups of horizontal lines around the body, rays on shoulder, a wavy line round neck.  The handle is painted on either edge with a black stripe and a wavy one on its surface. all in black. Edge lip painted in black.	Cypriote
13.10.13	Cypriote wheel made; plain ware bowl	Marks still apparent from use of wheel but no decoration.	Cypriote
13.10.14	Egyptian relief plaque	Naked standing female in relief. The figure has short hair, fastened up, broad shoulders, arms close to her sides, and legs together.	Egyptian
13.10.16	Cypriote wheel made bowl	Interior: red with concentric black circles inside thick black bands halfway down body, and at base. Exterior: red, with one broad black band. Coarse brownish clay.  Handles are also black.	Cypriote
13.10.17	Cypriote bichrome ware jug	The interior of the lip has a thick black line about 1.0 cm from the top, with black painted on the rim. The neck is painted with alternating red and black thick lines. The handle appears to have been painted in black on the top and sides, but reserved underneath. Around the middle, vertically to the handle there is a pattern of black cross-hatched lozenges. The rest of the body has a pattern of thin black and thick red concentric bands, ending in a circle with a black Maltese cross on either side of the vase.	Cypriote
13.10.18	Cypriote wheel made; bichrome iii ware bowl	Interior: halfway down, a series of uneven thin black concentric lines between two thick black lines; at base two concentric black circles. Exterior (from top to bottom): two black concentric lines, uneven thin black lines inside two thick black lines, one wide red band, black line, black line around footring and three concentric black lines on base.	Cypriote
13.10.19	Cypriote wheel made; plain ware bowl	Interior reddish brown colour, exterior a light beige to salmon coloured. No indiction of a pattern.	Cypriote
13.10.2	Cypriote knife fragment	 	Cypriote
13.10.20	Cypriote jug	White slip on brown clay.	Cypriote
13.10.21	Cypriote wheel made jug	The body is unpainted, beige-grey colour with a few red patches.	Cypriote
13.10.22	Cypriote coarse ware wheel made jug	 	Cypriote
13.10.23	Cypriote alabastron	 	Cypriote
13.10.24	alabastron	Surface once polished, but now dull.	 
13.10.25	Cypriote alabastron	Pinkish clay, undecorated. Circular indention at top of shoulder. Circular indentation on base, (chipped ?)	Cypriote
13.10.26	Cypriote red slip ware; wheel made bowl	Exterior colour quite pale with several large white patches and ridges, interior coated in brown paint.	Cypriote
13.10.27	Cypriote wheelmade lamp	Wire cutting marks on the base, marks from the depressing of the edges for the wick rest.	Cypriote
13.10.28	Cypriote figurine	Wear peplos, distinctive necklace with large central bead. Fingers and toes incised.	Cypriote
13.10.29	Cypriote figurine	 	Cypriote
13.10.3	Cypriote tanged dagger	 	Cypriote
13.10.30	Cypriote statuette	Appears to wear veil or headdress.	Cypriote
13.10.31	Cypriote statuette	Appears to wear headdress.	Cypriote
13.10.32	Cypriote statuette	Wears headdress and possibly earcaps. Incision for hair to show braiding or patterning.	Cypriote
13.10.33	Cypriote statuette	Wears headdress and earcaps.	Cypriote
13.10.34	Cypriote statuette	Large distinctive earrings and culry hair	Cypriote
13.10.35	Cypriote statuette	Wears wreath	Cypriote
13.10.36	Cypriote figurine	Some traces of red on right arm.	Cypriote
13.10.37	Cypriote figurine	Red wash and some added clay. A dot on the left hand side of the head may be an earring or ear, one on the neck part of a neacklace.	Cypriote
13.10.38	Cypriote figurine	Right hand side has lock of hair, lost on left. May have been painted in read wash, although no other paint remains.	Cypriote
13.10.39	Cypriote figurine	White slip, traces of red on tips of ears, mane, forelock and muzzle.	Cypriote
13.10.4A-B	Cypriote cast mirror case	The mirror (A) is decorated on the underside with six concentric circles, arranged in three pairs, and a raised boss at the centre, pierced at the centrepoint.	Cypriote
13.10.5	Cypriote dagger fragment	Perforations at the lower end, of which three out of four remain, two on each side, the upper two level to eachother, both just below the widest part of the spear. This is presumably where the dagger was attached to a shaft. The width of handle tapers on each end. While the centre of the fragment is thicker, raised on one face, the thickness diminshes towards the sides, which are rounded at the thicker (upper?) end.	Cypriote
13.10.6	Cypriot handle	 	Cypriot
13.10.7	Cypriote red polished ware flask	Fired black in patches. Incised decoration: groups of zig-zags and intersecting straight lines which stop at base without meeting.	Cypriote
13.10.8	mortar	 	 
13.10.9	Cypriote white ware jug	Part of handle missing. White slip, with straight and wavy linear patterns in black.  Cross in circle on base.	Cypriote
137.4.157	fragment	Painted red on one side, very worn	 
14.10.103	Attic black figure lekythos	Lip and neck reserved.  Shoulder: bars at base of neck; five palmettes (parts of four only remaining).  Body: black with a thin red band 3.2 cm from the bottom.	Attic
14.9.1	Cypriote red polished ware bowl	Red wash all over; undecorated.	Cypriote
14.9.103	Attic six\\\\\\'s technique stamnos (?)	Exterior: 8 petals of a palmette in Six\\'s technique; interior: brush strokes in a dilute glaze.	Attic
14.9.105	Attic squat lekythos	Palmette, with a triangle left unpaided (reserved) on either side (cf CVA Fogg Museum pl. 20.10-15). Traces of added red wash.	Attic
14.9.106	Attic black glaze bowl	Black gloss except for reserved resting surface and central part of underside.	Attic
14.9.107	Attic black glaze saltcellar	Black glaze all over	Attic
14.9.108	Attic black glaze lekanis	Inside and outside is black glaze. Curved foot is black on outside.  Resting surface is reserved.  Inside foot ring is black.  Base, from middle to outside, has central dot and circle in thinned glaze and broad band in black, then a reserved band.	Attic
14.9.109	Attic black glaze kylix	Exterior and interior black glazed, turning to red in places (especially around complete handle).  Underside of foot reserved with one black band.	Attic
14.9.11	Thessalian	Painted decoration in dull black on both sides in rectangles with lines inside with cross hatching on the underside.  Part of two bored holes at the same end but slightly apart, perhaps for suspension. No finished edges.	Thessalian
14.9.110A	Attic black glaze cup	Interior black except for a reserved band below rim, 0.3 cm wide; exterior reserved rim and a small handle zone. Rest of the body black. Handles black on the exterior, reserved underneath.	Attic
14.9.110B	Attic black glaze feeder	Feeder but with no lid or strainer. Body is black inside and out.  The side of the foot ring is grooved and black in patches.  The base is flat and reserved around the edge but reddened in the most part with an irregular brown ring in the centre.	Attic
14.9.111	disk loomweight	 	 
14.9.113	Attic black glaze fragment of the base of a stemless cup	Moulded foot-ring with reserved groove in the wall of the vase immediately above it. Whole of foot ring black, including resting surface; base black with two reserved grooved bands and reserved centre. Inside, two concentric zones of incised tongues which have degenerated into hooks.	Attic
14.9.114	Boeotian hollow cast figurine	Small areas of white at the top of the right thigh, and to the left of feet, suggest that the figure was coverd with white slip (painted?).	Boeotian
14.9.114BIS	Attic black glaze; stamped; incised bowl or cup fragment	Black glaze on exterior; interior decorated with rouletted ring, stamped palmettes, and irregular circle at centre.	Attic
14.9.115	Boeotian moulded figurine fragment	Head and shoulders of figurine of a boy with cloak over both shoulders.	Boeotian
14.9.116	kantharos	A festoon of lanceolate leaves in thinned clay hanging by means of small carelessly incised arcs from a white fillet. Inside black with a narrow band of unintentional red just inside the rim.	 
14.9.117	Cypriote moulded figurine	Incision around head and neck.	Cypriote
14.9.118	Cypriote figurine	Dressed in long chiton, wearing necklace, earrings and a veil covering her head. Stumplike arms and her lack of feet suggest she may have formed part of a ring of dancers originally on a plinth.	Cypriote
