record,token,surrogate,guid
11.10.1,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
11.10.10,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
11.10.11,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
11.10.12,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
11.10.13,Boeotian,Boeotia,71efc3e1c0acef72ad77d3cf1d47842f
11.10.14,Boeotian,Boeotia,71efc3e1c0acef72ad77d3cf1d47842f
11.10.15,Boeotian,Boeotia,71efc3e1c0acef72ad77d3cf1d47842f
11.10.16,Boeotian,Boeotia,71efc3e1c0acef72ad77d3cf1d47842f
11.10.19,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
11.10.2,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
11.10.20,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
11.10.21,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
11.10.4,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
11.10.5,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
11.10.6,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
11.10.7,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
11.10.8,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
11.10.9,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
114.9.45,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
12.10.1,Etruscan,Etruria,d0d6df187c0159a2cf4e9a218b05653f
13.10.1,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.10,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.12,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.13,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.16,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.17,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.18,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.19,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.2,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.20,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.21,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.22,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.23,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.25,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.26,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.27,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.28,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.29,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.3,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.30,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.31,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.32,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.33,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.34,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.35,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.36,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.37,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.38,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.39,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.4A-B,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.5,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.6,Cypriot,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.7,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
13.10.9,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
14.10.103,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.1,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
14.9.103,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.105,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.106,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.107,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.108,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.109,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.110A,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.110B,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.113,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.114,Boeotian,Boeotia,71efc3e1c0acef72ad77d3cf1d47842f
14.9.114BIS,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.115,Boeotian,Boeotia,71efc3e1c0acef72ad77d3cf1d47842f
14.9.117,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
14.9.118,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
14.9.119,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
14.9.120,Boeotian,Boeotia,71efc3e1c0acef72ad77d3cf1d47842f
14.9.2,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
14.9.3,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
14.9.4,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
14.9.5,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
14.9.57,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.58,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.59,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.6,Cypriote,Cyprus,d4b4b0d3bdb029e42b121b93c6c6c85f
14.9.60,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.61,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.62,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.63,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.64,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.65,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.66,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.68,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.69,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.70,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.71,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.74,Chiot,Chios,8034cf3799fd7a862652bd4e8dcfe3ce
14.9.82,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.83,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.84,Corinthian,Corinth,141ff5f8fa1437e987e1c854d6d4c833
14.9.85,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.86,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.87,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.89,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.91,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
14.9.92,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
16.2.1,Campanian,Campania,8c228487537c52ab41e544c8c9657c8d
20.4.1,Attic,Attica,25f3b7fd01611b0126eb002d9df4dee2
2003.3.37,Boeotian,Boeotia,71efc3e1c0acef72ad77d3cf1d47842f
2003.6.18,Laconian,Laconia,a4ef5299e7d52d07d5947c955dcd08af
2003.7.15,Laconian,Laconia,a4ef5299e7d52d07d5947c955dcd08af
2003.7.16,Laconian,Laconia,a4ef5299e7d52d07d5947c955dcd08af
2003.7.17,Laconian,Laconia,a4ef5299e7d52d07d5947c955dcd08af
2003.7.18,Laconian,Laconia,a4ef5299e7d52d07d5947c955dcd08af
